Keyword_id,Keyword,Sentiment Type
1,amazing,Positive
2,awesome,Positive
3,excellent,Positive
4,fantastic,Positive
5,fabulous,Positive
6,outstanding,Positive
7,perfect,Positive
8,brilliant,Positive
9,great,Positive
10,nice,Positive
11,happy,Positive
12,love,Positive
13,liked,Positive
14,popular,Positive
15,affordable,Positive
16,fast,Positive
17,smooth,Positive
18,smart,Positive
19,reliable,Positive
20,secure,Positive
21,innovative,Positive
22,creative,Positive
23,friendly,Positive
24,helpful,Positive
25,impressive,Positive
26,attractive,Positive
27,premium,Positive
28,quality,Positive
29,recommended,Positive
30,refreshing,Positive
31,convenient,Positive
32,powerful,Positive
33,productive,Positive
34,promising,Positive
35,professional,Positive
36,respected,Positive
37,responsive,Positive
38,safe,Positive
39,satisfied,Positive
40,seamless,Positive
41,simple,Positive
42,skilled,Positive
43,stable,Positive
44,stylish,Positive
45,successful,Positive
46,supportive,Positive
47,trusted,Positive
48,valuable,Positive
49,worthy,Positive
50,awful,Negative
51,bad,Negative
52,worse,Negative
53,worst,Negative
54,poor,Negative
55,slow,Negative
56,slowest,Negative
57,late,Negative
58,laggy,Negative
59,delay,Negative
60,problem,Negative
61,problematic,Negative
62,difficult,Negative
63,dirty,Negative
64,damaged,Negative
65,defective,Negative
66,disappointed,Negative
67,frustrating,Negative
68,insecure,Negative
69,unstable,Negative
70,unreliable,Negative
71,useless,Negative
72,waste,Negative
73,messy,Negative
74,rude,Negative
75,harsh,Negative
76,expensive,Negative
77,overpriced,Negative
78,fake,Negative
79,faulty,Negative
80,complaint,Negative
81,careless,Negative
82,confusing,Negative
83,inconvenient,Negative
84,inconsistent,Negative
85,irritating,Negative
86,lazy,Negative
87,risky,Negative
88,terrible,Negative
89,okay,Neutral
90,fine,Neutral
91,average,Neutral
92,normal,Neutral
93,update,Neutral
94,information,Neutral
95,details,Neutral
96,status,Neutral
97,option,Neutral
98,feature,Neutral
99,service,Neutral
100,support,Neutral
101,available,Neutral
102,waiting,Neutral
103,order,Neutral
104,expected,Neutral
105,confirm,Neutral
106,information,Neutral
107,normal,Neutral
